"brain__g1"	"heart__g2"	"kidney__g3"	"liver__g4"	"skeletal.muscle.organ__g5"
"ENSGALG00000014225"	335	4	11	0	1
"ENSGALG00000014233"	122	651	27	569	26
"ENSGALG00000014236"	1476	77	183	188	53
"ENSGALG00000014252"	3	2	2	6072	2
"ENSGALG00000014258"	255	160	27	4	702
"ENSGALG00000014261"	10073	159	187	83	56
"ENSGALG00000014262"	255	88	62	21	25
"ENSGALG00000014267"	28	12	719	169	0
"ENSGALG00000014324"	2450	317	243	114	278
"ENSGALG00000014337"	1970	8	27	0	6
"ENSGALG00000014442"	54321	48587	87883	52531	1261601
"ENSGALG00000014453"	25	10	18	12	975
"ENSGALG00000014463"	26	15647	130	3	64404
"ENSGALG00000014466"	909	26	10	2	3
"ENSGALG00000014485"	1190	473	339	83	86
"ENSGALG00000014496"	1180	19	528	71	8
"ENSGALG00000014509"	15	58	316	84	12
"ENSGALG00000014526"	9006	4244	16495	7705	137125
"ENSGALG00000014528"	8250	45	21	6	3
"ENSGALG00000014551"	85	73	774	305	102
"ENSGALG00000014569"	185	1318	207	246	229
"ENSGALG00000014582"	1931	85	496	214	37
"ENSGALG00000014585"	16	120	103	374	18
"ENSGALG00000014603"	146	465	220	7609	67
"ENSGALG00000014614"	1352	203	248	199	270
"ENSGALG00000014615"	108	36	1229	1	113
"ENSGALG00000014616"	599	27	135	7	2
"ENSGALG00000014640"	4	6	646	18	0
"ENSGALG00000014645"	1718	290	57	156	1961
"ENSGALG00000014646"	9668	159	94	15	35
"ENSGALG00000014659"	72	172	281	4783	29
"ENSGALG00000014662"	176	169	1789	795	20
"ENSGALG00000014668"	588	26	13	144	6
"ENSGALG00000014674"	9789	266	185	298	31
"ENSGALG00000014680"	166	74	256	691	16
"ENSGALG00000014681"	338	1	1	0	0
"ENSGALG00000014682"	150	1118	133	73	196
"ENSGALG00000014689"	795	32	36	3	23
"ENSGALG00000014695"	51	1	9	5	308
"ENSGALG00000014699"	329	116	3	1	141
"ENSGALG00000014708"	392	2044	6989	2328	444
"ENSGALG00000014723"	3350	564	437	213	177
"ENSGALG00000014726"	272	0	2	1	0
"ENSGALG00000014730"	96	115	429	26	14
"ENSGALG00000014737"	2040	293	449	171	239
"ENSGALG00000014749"	305	53	47	4	15
"ENSGALG00000014759"	44	71	561	31	254
"ENSGALG00000014765"	1037	196	128	63	111
"ENSGALG00000014766"	2	0	987	200	1
"ENSGALG00000014768"	1906	175	175	124	82
"ENSGALG00000014776"	21	1	0	0	309
"ENSGALG00000014793"	1819	3	18	0	1
"ENSGALG00000014795"	36	175	904	171	42
"ENSGALG00000014800"	7627	723	1007	359	319
"ENSGALG00000014812"	2315	0	136	57	0
"ENSGALG00000014813"	679	12	3	8	44
"ENSGALG00000014834"	1674	122	582	144	24
"ENSGALG00000014835"	28	5962	177	473	48
"ENSGALG00000014840"	2	18	75	4092	2
"ENSGALG00000014843"	1027	7	55	0	5
"ENSGALG00000014846"	3122	11620	2216	156	2201
"ENSGALG00000014847"	40	10341	172	101	15481
"ENSGALG00000014848"	0	211	1	0	2381
"ENSGALG00000014853"	448	3	0	0	1
"ENSGALG00000014855"	144	117	63	1203	789
"ENSGALG00000014857"	128	129	5958	797	18
"ENSGALG00000014858"	354	698	1	0	0
"ENSGALG00000014862"	2086	309	211	9275	579
"ENSGALG00000014868"	14356	1558	1859	1632	1983
"ENSGALG00000014873"	4816	394	124	701	81
"ENSGALG00000014875"	261	5	0	2	0
"ENSGALG00000014877"	23	77	783	36	7
"ENSGALG00000014878"	185	81	378	811	23
"ENSGALG00000014880"	497	77	81	40	13
"ENSGALG00000014881"	348	25	26	5	11
"ENSGALG00000014891"	477	420	3538	457	503
"ENSGALG00000014897"	360	49	39	20	34
"ENSGALG00000014907"	1317	355	181	44	169
"ENSGALG00000014908"	19	45	86	443	37
"ENSGALG00000014913"	23	5	522	2	8
"ENSGALG00000014917"	9	0	1	0	723
"ENSGALG00000014923"	259	137	1107	19	20
"ENSGALG00000014930"	2350	136	80	30	44
"ENSGALG00000014933"	137	129	1425	200	54
"ENSGALG00000014935"	1549	185	241	506	58
"ENSGALG00000014938"	2304	203	334	89	1
"ENSGALG00000014943"	304	0	42	1	2
"ENSGALG00000014944"	23	20	832	194	5
"ENSGALG00000014950"	0	0	10	2046	1
"ENSGALG00000014966"	4	3	2935	3619	5
"ENSGALG00000014967"	340	1	4	0	0
"ENSGALG00000014971"	34	5	141	545	1
"ENSGALG00000014976"	1	201	20	321	2
"ENSGALG00000014978"	124	307	4212	1373	75
"ENSGALG00000014984"	1	18	409	363	1
"ENSGALG00000014988"	111	8650	73	73	621
"ENSGALG00000014994"	543	5	14	0	0
"ENSGALG00000014995"	69	787	75	7	532
"ENSGALG00000014999"	10511	349	80	8	109
"ENSGALG00000015001"	332	2609	281	20	1052
"ENSGALG00000015010"	4783	14	2	2	16
"ENSGALG00000015016"	264	53	49	28	4
"ENSGALG00000015018"	15	3676	72	4	46912
"ENSGALG00000015020"	19	22	1248	13	140
"ENSGALG00000015021"	4	2	7663	0	3
"ENSGALG00000015022"	1089	276	126	77	69
"ENSGALG00000015025"	205	194	904	192	74
"ENSGALG00000015029"	191	46	265	26	12
"ENSGALG00000015053"	705	14	2763	4434	3
"ENSGALG00000015055"	70	7	528	49	102
"ENSGALG00000015057"	116	144	861	76	441
"ENSGALG00000015058"	1304	186	48	6	67
"ENSGALG00000015059"	1641	139	934	262	67
"ENSGALG00000015066"	2113	8	20	2	13
"ENSGALG00000015075"	6447	61	16	0	12
"ENSGALG00000015077"	344	1730	267	139	116
"ENSGALG00000015084"	1220	16	20	0	26
"ENSGALG00000015089"	3312	11	1	0	3
"ENSGALG00000015096"	1993	8	89	0	2
"ENSGALG00000015107"	964	642	131	23	48
"ENSGALG00000015111"	2773	89	97	19	11
"ENSGALG00000015115"	100	374	23	0	61
"ENSGALG00000015124"	148	55	466	79	22
"ENSGALG00000015126"	1413	1	31	1	3
"ENSGALG00000015128"	4676	7	95	0	334
"ENSGALG00000015132"	2223	5035	256	44	63
"ENSGALG00000015140"	40	318	5	0	0
"ENSGALG00000015141"	614	56	372	104	12
"ENSGALG00000015142"	45	716	89	224	4
"ENSGALG00000015143"	23710	46	4	48564	109
"ENSGALG00000015147"	13	17	10172	3249	67
"ENSGALG00000015148"	44	641	133	39	81
"ENSGALG00000015151"	1476	140	33	100	5
"ENSGALG00000015152"	93	252	541	31	66
"ENSGALG00000015154"	33	3	318	2	1
"ENSGALG00000015167"	364	64	3816	2	4
"ENSGALG00000015180"	1858	47	5254	6381	68
"ENSGALG00000015183"	75	40	396	62	8
"ENSGALG00000015193"	184	1975	140	29	715
"ENSGALG00000015196"	817	169	52	3	31
"ENSGALG00000015198"	765	0	0	0	0
"ENSGALG00000015203"	2684	3	27	4	0
"ENSGALG00000015215"	6283	1546	467	143	425
"ENSGALG00000015219"	107	30	1112	19	2
"ENSGALG00000015221"	286	15	27	3	13
"ENSGALG00000015226"	41	73	319	77	47
"ENSGALG00000015233"	11701	2476	15865	530	473
"ENSGALG00000015248"	296	0	10	0	0
"ENSGALG00000015253"	75	1107	241	46	52
"ENSGALG00000015256"	2970	256	472	1030	104
"ENSGALG00000015263"	73	32	401	208	9
"ENSGALG00000015275"	221	83	2149	462	75
"ENSGALG00000015305"	460	21	9	4	25
"ENSGALG00000015332"	1877	3	23	0	2
"ENSGALG00000015344"	613	127	87	81	18
"ENSGALG00000015348"	1195	176	298	47	151
"ENSGALG00000015358"	251	199558	311	275	173
"ENSGALG00000015373"	560	2	14	0	3
"ENSGALG00000015374"	900	8	20	26	8
"ENSGALG00000015379"	2105	13	5	5	4
"ENSGALG00000015403"	1858	71	17	1	43
"ENSGALG00000015410"	13	3938	209	0	1033
"ENSGALG00000015418"	382	0	0	0	0
"ENSGALG00000015419"	788	0	2	0	868
"ENSGALG00000015422"	859	3	15	0	7
"ENSGALG00000015425"	316	6095	232	514	191
"ENSGALG00000015428"	1423	71	64	136	112
"ENSGALG00000015434"	664	0	111	1	1
"ENSGALG00000015438"	339	65	100	69	14
"ENSGALG00000015453"	14	967	12	0	1639
"ENSGALG00000015458"	1999	167	1176	482	26
"ENSGALG00000015461"	369	8	22	22	5
"ENSGALG00000015466"	3	0	422	0	1
"ENSGALG00000015489"	871	6	10	0	10
"ENSGALG00000015491"	187	95	4706	199	124
"ENSGALG00000015492"	29	6	4543	112	11
"ENSGALG00000015497"	117	160	18	2	298
"ENSGALG00000015511"	1178	81	409	394	26
"ENSGALG00000015517"	70	300	165	9	3
"ENSGALG00000015519"	1240	9	172	23	0
"ENSGALG00000015528"	441	210	43	26	17
"ENSGALG00000015531"	1900	8	26	5	20
"ENSGALG00000015542"	832	327	36	0	0
"ENSGALG00000015544"	94	32	55935	28619	23
"ENSGALG00000015551"	1890	19	39	3	5
"ENSGALG00000015554"	481	52	23	7	42
"ENSGALG00000015568"	30	94	445	78	10
"ENSGALG00000015590"	471	32	41	23	80
"ENSGALG00000015591"	119	57	458	97	73
"ENSGALG00000015593"	745	38	159	0	3
"ENSGALG00000015595"	343	0	0	0	0
"ENSGALG00000015598"	916	36	53	4	27
"ENSGALG00000015602"	2	5078	1	0	18154
"ENSGALG00000015612"	1435	572	3578	440	238
"ENSGALG00000015616"	14	1	393	3	0
"ENSGALG00000015620"	165	49	286	24	34
"ENSGALG00000015623"	7	3	38	1596	3
"ENSGALG00000015626"	1331	68	75	55	5
"ENSGALG00000015630"	1966	5	27	0	34
"ENSGALG00000015652"	266	83	103	16	26
"ENSGALG00000015664"	5789	1621	1362	236	691
"ENSGALG00000015681"	336	267	606	275	2135
"ENSGALG00000015702"	313	252	1986	1041	109
"ENSGALG00000015704"	1587	875	7796	1755	1438
"ENSGALG00000015708"	2007	73	355	1206	12
"ENSGALG00000015737"	471	2	2	0	0
"ENSGALG00000015770"	25364	3744	11276	3076	924
"ENSGALG00000015799"	328	3	0	0	0
"ENSGALG00000015835"	2292	298	2	1	7
"ENSGALG00000015836"	433	79	144	37	39
"ENSGALG00000015842"	2046	92	98	67	14
"ENSGALG00000015846"	4151	21	397	27	19
"ENSGALG00000015876"	303	2	6	0	0
"ENSGALG00000015877"	501	22	403	105	4
"ENSGALG00000015895"	3142	53	43	2	10
"ENSGALG00000015898"	372	116	1457	160	18
"ENSGALG00000015904"	2646	459	964	424	211
"ENSGALG00000015935"	2	2384	0	53	1739
"ENSGALG00000015937"	1	75	441	4835	51
"ENSGALG00000015939"	192	241	3461	707	260
"ENSGALG00000015944"	719	1	1	0	2
"ENSGALG00000015949"	339	73	977	85	78
"ENSGALG00000015959"	1434	176	420	185	74
"ENSGALG00000015967"	1805	1	1	0	0
"ENSGALG00000015977"	849	150	77	38	16
"ENSGALG00000015995"	2875	759	849	256	150
"ENSGALG00000016017"	328	248	35	24	11
"ENSGALG00000016020"	36	0	439	2	0
"ENSGALG00000016027"	1344	298	5220	417	292
"ENSGALG00000016036"	984	223	365	71	95
"ENSGALG00000016044"	2	3	198	7	1099
"ENSGALG00000016054"	466	0	1	1	6
"ENSGALG00000016055"	15	35	3045	32	6
"ENSGALG00000016094"	773	35	841	190	63
"ENSGALG00000016098"	517	1153	240	116	137
"ENSGALG00000016105"	2542	3685	12346	306	3985
"ENSGALG00000016127"	4	789	0	0	1795
"ENSGALG00000016132"	7	55	176	275	0
"ENSGALG00000016138"	3941	2	2	1	1
"ENSGALG00000016144"	6	0	1399	167	0
"ENSGALG00000016154"	743	0	0	0	0
"ENSGALG00000016176"	1930	3	1	0	4
"ENSGALG00000016186"	373	12	32	4	11
"ENSGALG00000016196"	290	11	1433	647	9
"ENSGALG00000016215"	38	258	95	30	30
"ENSGALG00000016241"	3060	413	1829	382	147
"ENSGALG00000016251"	10338	358	1526	81	1370
"ENSGALG00000016262"	353	20	10	3	0
"ENSGALG00000016266"	138	225	741	161	69
"ENSGALG00000016271"	11785	614	1678	779	4279
"ENSGALG00000016279"	285	118	73	4	29
"ENSGALG00000016283"	354	44	143	45	26
"ENSGALG00000016285"	204	550	1781	811	5
"ENSGALG00000016300"	0	509	3709	471	288
"ENSGALG00000016301"	0	3473	22	0	638
"ENSGALG00000016309"	4	1117	1	7	6164
"ENSGALG00000016318"	562	12	10	5	7
"ENSGALG00000016322"	1003	71	1141	11034	148
"ENSGALG00000016324"	45	10	7108	2344	62
"ENSGALG00000016325"	12	34	10415	3637	16
"ENSGALG00000016328"	1239	45	500	3076	135
"ENSGALG00000016342"	108	4272	4	0	31282
"ENSGALG00000016348"	1490	1025	7817	2000	342
"ENSGALG00000016358"	520	581	67	7	23
"ENSGALG00000016362"	97	24	597	24	34
"ENSGALG00000016384"	1506	1	3	0	0
"ENSGALG00000016385"	686	125	178	117	55
"ENSGALG00000016388"	0	403	0	0	378
"ENSGALG00000016391"	2210	51	78	2	65
"ENSGALG00000016397"	257	97	29	6	30
"ENSGALG00000016415"	2295	3	480	398	1
"ENSGALG00000016419"	253	67	347	36	21
"ENSGALG00000016426"	39	441	1499	4	169
"ENSGALG00000016441"	10	55	271	30	14
"ENSGALG00000016443"	6846	224	798	281	41
"ENSGALG00000016446"	52	11	571	13	11
"ENSGALG00000016448"	260	18	11	0	2
"ENSGALG00000016456"	109	96	197	1227	274
"ENSGALG00000016459"	748	11	45	718	3
"ENSGALG00000016463"	2763	302	449	264	154
"ENSGALG00000016464"	19231	14	15	186	12
"ENSGALG00000016475"	8	6	14	257	0
"ENSGALG00000016483"	19	1	717	0	1
"ENSGALG00000016486"	28	100	706	143	92
"ENSGALG00000016487"	2152	274	686	818	75
"ENSGALG00000016491"	11	11	18085	38568	47
"ENSGALG00000016495"	438	44	65	4	119
"ENSGALG00000016497"	168	897	664	208	2509
"ENSGALG00000016507"	559	33	32	21	5
"ENSGALG00000016509"	977	184	682	112	45
"ENSGALG00000016510"	11	3	261	45	0
"ENSGALG00000016524"	845	221	1077	104	73
"ENSGALG00000016529"	1153	46	25	129	103
"ENSGALG00000016543"	420	1989	788	14	11
"ENSGALG00000016545"	1064	94	1101	41	47
"ENSGALG00000016554"	13	2	281	44	0
"ENSGALG00000016558"	19	105	318	4	74
"ENSGALG00000016563"	27	24	669	373	9
"ENSGALG00000016564"	5674	41	250	150	5
"ENSGALG00000016567"	142	664	4847	1858	75
"ENSGALG00000016570"	6	50	24102	17	7
"ENSGALG00000016571"	308	2	0	5	0
"ENSGALG00000016575"	24830	271	27	6	416
"ENSGALG00000016577"	770	0	2221	0	0
"ENSGALG00000016580"	35	779	26	1	43
"ENSGALG00000016592"	21	18	32	13095	310
"ENSGALG00000016605"	2109	487	271	91	18
"ENSGALG00000016607"	927	43	3	2	39
"ENSGALG00000016608"	890	133	160	24	23
"ENSGALG00000016620"	144	423	0	0	53
"ENSGALG00000016628"	1072	218	10	0	5
"ENSGALG00000016635"	184	3222	320	12	1048
"ENSGALG00000016648"	28	57	312	218	0
"ENSGALG00000016651"	329	469	248	1809	62
"ENSGALG00000016654"	1	4	1225	95	1
"ENSGALG00000016662"	0	3261	1	129	3
"ENSGALG00000016667"	5	12	319675	5757	86
"ENSGALG00000016675"	2542	377	248	27	12
"ENSGALG00000016680"	17	0	410	0	0
"ENSGALG00000016685"	502	3	0	0	0
"ENSGALG00000016690"	5	35	60709	4918	23
"ENSGALG00000016691"	11191	4788	40250	8171	809
"ENSGALG00000016705"	388	52	136	82	23
"ENSGALG00000016707"	21	91	545	1	393
"ENSGALG00000016709"	727	1249	41	11	45
"ENSGALG00000016710"	130	414	253	2393	28
"ENSGALG00000016719"	4938	462	4782	635	601
"ENSGALG00000016721"	60	44	103	508	25
"ENSGALG00000016724"	266	151	17351	1203	152
"ENSGALG00000016734"	569	30	109	69	3
"ENSGALG00000016735"	927	278	201	151	99
"ENSGALG00000016744"	1515	2	1	0	0
"ENSGALG00000016767"	338	69	10	4	334
"ENSGALG00000016769"	984	180	182	35	73
"ENSGALG00000016774"	1001	239	15	158	19
"ENSGALG00000016785"	31	516	97	93	10
"ENSGALG00000016791"	267	0	3298	1	128
"ENSGALG00000016797"	348	11081	342	26	174
"ENSGALG00000016805"	1	4	12445	2702	0
"ENSGALG00000016811"	47	91	304	57	27
"ENSGALG00000016826"	8	945	42	2	5
"ENSGALG00000016832"	1	2	1	829	2
"ENSGALG00000016833"	1	2	157	1198	0
"ENSGALG00000016837"	720	8	14	13	10
"ENSGALG00000016844"	36	49	419	188	75
"ENSGALG00000016858"	0	0	303	0	0
"ENSGALG00000016868"	791	17	9	0	5
"ENSGALG00000016870"	493	29	112	77	119
"ENSGALG00000016883"	2133	989	266	126	187
"ENSGALG00000016889"	1680	65	81	55	58
"ENSGALG00000016902"	253	45	4	11	1
"ENSGALG00000016905"	1632	3	32	0	0
"ENSGALG00000016908"	1108	13	279	1	11
"ENSGALG00000016911"	661	199	178	94	51
"ENSGALG00000016913"	272	1	0	0	3
"ENSGALG00000016941"	847	4	68	0	1
"ENSGALG00000016954"	101	38	257	0	41
"ENSGALG00000016959"	398	107	25	11	16
"ENSGALG00000016967"	675	141	37	47	54
"ENSGALG00000016975"	540	10	10	3	1
"ENSGALG00000016979"	133	338	428	128	2347
"ENSGALG00000016985"	0	3	0	2428	2
"ENSGALG00000016990"	622	138	268	47	64
"ENSGALG00000016991"	617	628	4265	1271	546
"ENSGALG00000016998"	24	64	40	54	558
"ENSGALG00000017005"	1085	305	196	61	141
"ENSGALG00000017021"	232	0	27	886	1
"ENSGALG00000017031"	17	16	1520	20	12
"ENSGALG00000017032"	311	196	21334	12	84
"ENSGALG00000017035"	1212	170	265	118	105
"ENSGALG00000017036"	587	343	46	13	100
"ENSGALG00000017039"	32	5	2	287	2
"ENSGALG00000017040"	1508	236	85	29339	47
"ENSGALG00000017046"	31	3309	25	227	1596
"ENSGALG00000017062"	3721	113	203	14	73
"ENSGALG00000017068"	187	15	905	0	285
"ENSGALG00000017072"	146	320	290	1535	29
"ENSGALG00000017077"	2576	541	679	210	352
"ENSGALG00000017083"	405	41	61	23	19
"ENSGALG00000017085"	889	61	47	29	16
"ENSGALG00000017096"	530	104	98	116	70
"ENSGALG00000017099"	280	20	264	20	11
"ENSGALG00000017106"	866	1	154	4	0
"ENSGALG00000017117"	6	1	2734	3	1
"ENSGALG00000017118"	297	775	1929	271	136
"ENSGALG00000017122"	42	470	57	8	688
"ENSGALG00000017136"	36	13	1860	3	34
"ENSGALG00000017155"	401	5	25	0	1
"ENSGALG00000017165"	558	314	240	147	1814
"ENSGALG00000017167"	69	3	688	18	0
"ENSGALG00000017168"	6	23	6	0	15337
"ENSGALG00000017169"	4443	21	52	4	5
"ENSGALG00000017173"	1133	261	110	88	74
"ENSGALG00000017179"	220	889	180	9	110
"ENSGALG00000017181"	196	78	137	76	1046
"ENSGALG00000017185"	522	356	2986	6750	35
"ENSGALG00000017196"	96	172	544	107	39
"ENSGALG00000017197"	304	1	0	10	1
"ENSGALG00000017199"	321	181	946	43	170
"ENSGALG00000017200"	1497	336	295	148	114
"ENSGALG00000017204"	759	214	73	94	76
"ENSGALG00000017205"	470	137	107	16	18
"ENSGALG00000017219"	39	40	715	303	30
"ENSGALG00000017229"	2416	14	63	35	27
"ENSGALG00000017238"	2576	2	0	0	2
"ENSGALG00000017246"	677	476	1536	18	168
"ENSGALG00000017250"	11	2	705	0	0
"ENSGALG00000017291"	445	96	46	29	40
"ENSGALG00000017304"	3167	70	76	33	787
"ENSGALG00000017312"	5296	559	1108	401	285
"ENSGALG00000017316"	30	6	40	4	1401
"ENSGALG00000017320"	4887	573	526	349	406
"ENSGALG00000017321"	2916	311	1029	129	80
"ENSGALG00000017326"	6019	397	486	55	61
"ENSGALG00000017327"	294	101	95	31	19
"ENSGALG00000017332"	310	143	0	0	13
"ENSGALG00000017358"	28923	1140	1454	565	2640
"ENSGALG00000017365"	722	108	104	80	67
"ENSGALG00000017378"	1178	3	17	0	9
"ENSGALG00000017394"	549	174	3698	3301	9053
"ENSGALG00000017405"	133	391	3313	6	286
"ENSGALG00000017418"	2022	56	7	0	0
"ENSGALG00000017419"	157	170	1940	356	23
"ENSGALG00000017644"	3423	1085	11059	984	660
"ENSGALG00000017652"	1829	120	135	6	25
"ENSGALG00000017715"	101	726	2897	255	99
"ENSGALG00000017803"	1065	273	296	56	21
"ENSGALG00000017819"	68	46	288	64	23
"ENSGALG00000017828"	517	373	2826	557	202
"ENSGALG00000018534"	12	2	1441	1	2
"ENSGALG00000018700"	93	86	20	35	1280
"ENSGALG00000018803"	994	64	119	21	48
"ENSGALG00000018942"	12398	6	17	22	532
"ENSGALG00000018946"	0	7	2	0	2697
"ENSGALG00000018998"	2244	432	37	3	16
"ENSGALG00000019003"	421	42	17	5	17
"ENSGALG00000019114"	4	1	6971	8	6
"ENSGALG00000019157"	9	3212	38	0	520
"ENSGALG00000019215"	228	21	425	70	37
"ENSGALG00000019228"	76	23	495	180	11
"ENSGALG00000019277"	74	1	9	4072	2
"ENSGALG00000019290"	3	0	6	674	0
"ENSGALG00000019514"	340	213	5290	405	488
"ENSGALG00000019527"	1	0	5145	0	0
"ENSGALG00000019663"	1833	13	10	19	3
"ENSGALG00000019690"	439	66	32	39	15
"ENSGALG00000019768"	447	143	4615	2156	154
"ENSGALG00000019844"	2	1	2	1475	0
"ENSGALG00000019845"	10	7	515	28936	18
"ENSGALG00000019867"	281	97	51	26	46
"ENSGALG00000019987"	1751	6	14	5	52
"ENSGALG00000020160"	2	0	1083	1186	0
"ENSGALG00000020260"	1182	389	5157	4108	146
"ENSGALG00000020292"	1613	3	0	0	0
"ENSGALG00000020316"	56	188	20	311	19
"ENSGALG00000020342"	355	124	779	105	30
"ENSGALG00000020388"	0	2	1	822	0
"ENSGALG00000020390"	1	2	21	2262	0
"ENSGALG00000020391"	0	0	0	3225	3
"ENSGALG00000020505"	377	41	0	0	327
"ENSGALG00000020538"	333	25	37	55	9
"ENSGALG00000020575"	630	10	43	19	5
"ENSGALG00000020615"	1836	339	111	3	31
"ENSGALG00000020688"	445	62	1900	3222	10
"ENSGALG00000020703"	26	2	524	188	2
"ENSGALG00000020754"	1605	73	100	50	30
"ENSGALG00000020788"	99	8796	57	82	564
"ENSGALG00000020876"	54	228	1733	6	358
"ENSGALG00000020905"	1393	1	51	0	1
"ENSGALG00000020943"	2	2	5553	960	2
"ENSGALG00000020975"	383	1	1	0	401
"ENSGALG00000021039"	267	2	406	1236	0
"ENSGALG00000021047"	3704	188	682	144	227
"ENSGALG00000021079"	257	86	52	72	4
"ENSGALG00000021126"	2	1	3560	5	0
"ENSGALG00000021128"	3199	420	178	39	119
"ENSGALG00000021158"	46	10	484	4	6
"ENSGALG00000021171"	283	23	41	302	9
"ENSGALG00000021238"	38	5	307	55	3
"ENSGALG00000021272"	1811	9	46	1	464
"ENSGALG00000021304"	83	110	292	5	4
"ENSGALG00000021362"	6	25	2980	395	0
"ENSGALG00000021399"	12	507	40	2144	49
"ENSGALG00000021442"	272	38	86	57	5
"ENSGALG00000021451"	6	7	693	459	2
"ENSGALG00000021525"	225	860	477	21	46
"ENSGALG00000021542"	5832	2	4	0	2
"ENSGALG00000021569"	333	287	290	1908	72
"ENSGALG00000021589"	477	19	3	0	1
"ENSGALG00000021620"	2439	24	4	0	3
"ENSGALG00000021636"	663	887	3207	473	354
"ENSGALG00000021658"	129	29	2762	932	16
"ENSGALG00000021686"	293	12	67	42	0
"ENSGALG00000021848"	7	3	93048	106	22
"ENSGALG00000021869"	135	440	72	54	1141
"ENSGALG00000022557"	9	2	900	89	1
"ENSGALG00000022758"	3015	29	247	1438	27
"ENSGALG00000022875"	60	1097	469	171	71
"ENSGALG00000022887"	627	69	40	4	4
"ENSGALG00000022896"	0	538	0	0	0
"ENSGALG00000022926"	1984	245	114	37	49
"ENSGALG00000023070"	2	2	257	10451	1
"ENSGALG00000023089"	687	93	66	8	56
"ENSGALG00000023099"	2281	0	0	0	0
"ENSGALG00000023120"	537	297	2325	454	34
"ENSGALG00000023122"	16	73	670	147	3
"ENSGALG00000023131"	2043	123	198	73	49
"ENSGALG00000023256"	867	145	153	92	151
"ENSGALG00000023296"	146	1085	654	153	49
"ENSGALG00000023303"	17	3	8	0	881
"ENSGALG00000023395"	23	437	122	27	5
"ENSGALG00000023396"	985	11	6	5	9
"ENSGALG00000023419"	0	1	867	0	1
"ENSGALG00000023435"	11	4	5684	10135	655
"ENSGALG00000023437"	43	31	5140	2605	11
"ENSGALG00000023517"	82	260	1746	1425	29
"ENSGALG00000023541"	308	160	788	169	25
"ENSGALG00000023542"	213	184	11021	302	41
"ENSGALG00000023584"	406	20	2	0	16
"ENSGALG00000023626"	254	69	393	5	8
"ENSGALG00000023648"	9168	656	639	248	2457
"ENSGALG00000023689"	1093	263	10787	694	39
"ENSGALG00000023740"	0	0	293	0	2
"ENSGALG00000023760"	1	0	17	768	0
"ENSGALG00000023772"	10	4899	471	7	34
"ENSGALG00000023781"	329	46	14	5	15
"ENSGALG00000023806"	3612	794	1138	263	538
"ENSGALG00000023819"	1	2728	20	0	3356
"ENSGALG00000023834"	14	229	4	0	505
"ENSGALG00000023872"	379	940	2299	95	140
"ENSGALG00000023881"	885	244	24	16	37
"ENSGALG00000023886"	345	3	17	1	1
"ENSGALG00000023898"	164	676	283	41	95
"ENSGALG00000023933"	47	1223	30	2234	1038
"ENSGALG00000023936"	198	31	2000	267	14
"ENSGALG00000023953"	45	115	1281	17515	41
"ENSGALG00000024041"	244	129	1429	175	116
"ENSGALG00000024049"	540	19	19	4	6
"ENSGALG00000024085"	1	6	25	459	0
"ENSGALG00000024271"	745	2595	7520	2885	310
"ENSGALG00000024296"	23	8	287	8	2
"ENSGALG00000024379"	11	490	121	9	72
"ENSGALG00000024395"	644	80	116	45	76
"ENSGALG00000024470"	0	1630	0	4	1162
"ENSGALG00000024486"	3761	72	281	94	15
"ENSGALG00000025729"	1034	2	0	0	0
"ENSGALG00000025751"	156	839	84	51	5305
"ENSGALG00000025792"	694	162	83	18	40
"ENSGALG00000025800"	157	32	2151	38	13
"ENSGALG00000025804"	107	151	654	268	0
"ENSGALG00000025844"	207	183	520	1141	18
"ENSGALG00000025851"	265	93	77	13	7
"ENSGALG00000025886"	60	6	750	72	2
"ENSGALG00000025896"	2114	21	8	0	6
"ENSGALG00000025935"	5	8	5557	1661	2
"ENSGALG00000025937"	1938	7649	401	63	1588
"ENSGALG00000025941"	585	2	7	1	6
"ENSGALG00000025948"	27	18	1083	31	7
"ENSGALG00000025958"	14	15	251	36	2
"ENSGALG00000026005"	3009	43	77	4396	130
"ENSGALG00000026033"	684	12	2	0	0
"ENSGALG00000026038"	4	18	443	32	15
"ENSGALG00000026055"	4310	353	145	87	26
"ENSGALG00000026077"	28308	6039	1644	253	1202
"ENSGALG00000026081"	386	2584	94	58	7468
"ENSGALG00000026089"	6	1	5999	2	2
"ENSGALG00000026091"	574	6	0	0	6
"ENSGALG00000026153"	849	112	25	8	45
"ENSGALG00000026154"	16	385	61	18	494
"ENSGALG00000026159"	213	2365	566	98	228
"ENSGALG00000026179"	577	1	1	0	0
"ENSGALG00000026214"	573	0	0	0	0
"ENSGALG00000026215"	536	5	32	2	3
"ENSGALG00000026263"	2960	33	600	56	29
"ENSGALG00000026264"	4	10	78	2	1282
"ENSGALG00000026276"	14	357	35	0	50
"ENSGALG00000026278"	8915	344	653	365	103
"ENSGALG00000026361"	710	14	2	0	0
"ENSGALG00000026367"	1035	5	15	3	2
"ENSGALG00000026373"	136	604	115	74	34
"ENSGALG00000026385"	39	31	320	102	58
"ENSGALG00000026392"	11	3	3288	222	0
"ENSGALG00000026396"	16	21	1726	1235	6
"ENSGALG00000026431"	4212	4	1	1	2
"ENSGALG00000026443"	817	273	206	99	98
"ENSGALG00000026445"	43785	3452	3464	1576	16475
